character,state,probability
r0,2,0.447730
r0,3,0.643083
r0,4,0.074974
r0,5,0.568110
r0,6,0.344245
r1,10,0.435058
r1,11,0.198522
r1,12,0.059134
r1,13,0.001056
r1,14,0.080253
r1,15,0.017951
r1,16,0.030623
r1,17,0.168955
r1,18,0.052798
r1,19,0.299894
r1,2,0.727561
r1,20,0.026399
r1,21,0.012672
r1,22,0.178458
r1,23,0.097149
r1,24,0.104541
r1,25,0.055966
r1,26,0.001056
r1,27,0.026399
r1,28,0.026399
r1,29,0.368532
r1,3,0.398099
r1,30,0.298838
r1,31,0.019007
r1,32,0.128828
r1,33,0.001056
r1,34,0.016895
r1,35,0.001056
r1,36,0.373812
r1,37,0.022175
r1,38,0.116156
r1,39,0.016895
r1,4,0.218585
r1,40,0.012672
r1,41,0.010560
r1,42,0.028511
r1,43,0.001056
r1,44,0.162619
r1,45,0.344245
r1,46,0.001056
r1,47,0.026399
r1,48,0.003168
r1,5,0.232313
r1,6,0.275607
r1,7,0.027455
r1,8,0.036959
r1,9,0.322070
r2,2,0.007392
r2,3,0.327350
r2,4,0.643083
r3,2,0.007392
r3,3,0.327350
r3,4,0.043295
r4,10,0.237592
r4,11,0.022175
r4,12,0.322070
r4,2,0.727561
r4,3,0.104541
r4,4,0.129884
r4,5,0.047518
r4,6,0.039071
r4,7,0.001056
r4,8,0.435058
r4,9,0.232313
r5,2,0.345301
r5,3,0.344245
r5,4,0.568110
r6,2,0.383316
r6,3,0.299894
r6,4,0.344245
r6,5,0.031679
r7,2,0.004224
r7,3,0.344245
r7,4,0.006336
r7,5,0.727561
r8,2,0.643083
r8,3,0.010560
r8,4,0.335797
r8,5,0.033791
r8,6,0.047518
r8,7,0.023231
r9,2,0.383316
r9,3,0.002112
r9,4,0.299894
r10,2,0.220697
r10,3,0.080253
r11,2,0.279831
r11,3,0.006336
r11,4,0.643083
r12,2,0.004224
r12,3,0.192186
r12,4,0.010560
r13,2,0.727561
r13,3,0.074974
r13,4,0.077086
